State_ID,plant_id,plant_name,plant_group,min_height(ft),max_height(ft),water_necessity (1Lcup/day),maintenance,sunlight,indoor,outdoor,potted,shortest_growth_period(year),longest_growth_period(year),min_area_square_feet,Co2_absorption(kg)_per_year,O2_release(kg)_per_year,lifetime(year),lowest_temp,highest_temp,Uses,description,,,,,
SHN_S,1,ပူစီနံ,ဟင်းသီးဟင်းရွက်ပင်,၀.၃,၁,၁,နည်း,အသင့်အတင့်,ရ,ရ,ရ,၀.၀၈,၀.၂၅,၁,၀.၈,၀.၆,၃,၅°C,၃၀°C,ဟင်းချက် (အရသာ၊ လက်ဖက်ရည်)၊ ဆေးဖက်ဝင် (အစာချေ၊ ခေါင်းကိုက်သက်သာ)၊ အလှဆင်,ဟင်းချက်ရာနှင့် လက်ဖက်ရည်ကြမ်းတို့တွင် အစိုဖြစ်စေ၊ အခြောက်ဖြစ်စေ အသုံးပြုနိုင်ပြီး ကြီးထွားနှုန်းမြန်သည့် မွှေးကြိုင်သော ဆေးဖက်ဝင်အပင်ဖြစ်သည်။,,,,,
MDY,1,ပူစီနံ,ဟင်းသီးဟင်းရွက်ပင်,၀.၃,၁,၁,နည်း,အသင့်အတင့်,ရ,ရ,ရ,၀.၀၈,၀.၂၅,၁,၀.၈,၀.၆,၃,၅°C,၃၀°C,ဟင်းချက် (အရသာ၊ လက်ဖက်ရည်)၊ ဆေးဖက်ဝင် (အစာချေ၊ ခေါင်းကိုက်သက်သာ)၊ အလှဆင်,ဟင်းချက်ရာနှင့် လက်ဖက်ရည်ကြမ်းတို့တွင် အစိုဖြစ်စေ၊ အခြောက်ဖြစ်စေ အသုံးပြုနိုင်ပြီး ကြီးထွားနှုန်းမြန်သည့် မွှေးကြိုင်သော ဆေးဖက်ဝင်အပင်ဖြစ်သည်။,,,,,
SAG,1,ပူစီနံ,ဟင်းသီးဟင်းရွက်ပင်,၀.၃,၁,၁,နည်း,အသင့်အတင့်,ရ,ရ,ရ,၀.၀၈,၀.၂၅,၁,၀.၈,၀.၆,၃,၅°C,၃၀°C,ဟင်းချက် (အရသာ၊ လက်ဖက်ရည်)၊ ဆေးဖက်ဝင် (အစာချေ၊ ခေါင်းကိုက်သက်သာ)၊ အလှဆင်,ဟင်းချက်ရာနှင့် လက်ဖက်ရည်ကြမ်းတို့တွင် အစိုဖြစ်စေ၊ အခြောက်ဖြစ်စေ အသုံးပြုနိုင်ပြီး ကြီးထွားနှုန်းမြန်သည့် မွှေးကြိုင်သော ဆေးဖက်ဝင်အပင်ဖြစ်သည်။,,,,,
SHN_S,2,ပင်စိမ်း,ဟင်းသီးဟင်းရွက်ပင်,၀.၈,၂,၁,နည်း,အပြည့်အဝ,ရ,ရ,ရ,၀.၅,၀.၂၅,၁,၁,၀.၇,၁,၁၀°C,၃၅°C,ဟင်းချက် (ပက်စတိုဆော့စ်၊ အသုပ်၊ ချက်ပြုတ်)၊ ဆေးဖက်ဝင် (ရောင်ရမ်းမှုကျ၊ အစာချေ),အထူးသဖြင့် မြေထဲပင်လယ်ဒေသနှင့် အရှေ့တောင်အာရှ ဟင်းလျာများတွင် ကျယ်ပြန့်စွာ အသုံးပြုကြသည့် မွှေးကြိုင်သော တစ်နှစ်ခံပင်ဖြစ်သည်။,,,,,
MDY,2,ပင်စိမ်း,ဟင်းသီးဟင်းရွက်ပင်,၀.၈,၂,၁,နည်း,အပြည့်အဝ,ရ,ရ,ရ,၀.၅,၀.၂၅,၁,၁,၀.၇,၁,၁၀°C,၃၅°C,ဟင်းချက် (ပက်စတိုဆော့စ်၊ အသုပ်၊ ချက်ပြုတ်)၊ ဆေးဖက်ဝင် (ရောင်ရမ်းမှုကျ၊ အစာချေ),အထူးသဖြင့် မြေထဲပင်လယ်ဒေသနှင့် အရှေ့တောင်အာရှ ဟင်းလျာများတွင် ကျယ်ပြန့်စွာ အသုံးပြုကြသည့် မွှေးကြိုင်သော တစ်နှစ်ခံပင်ဖြစ်သည်။,,,,,
YGN,2,ပင်စိမ်း,ဟင်းသီးဟင်းရွက်ပင်,၀.၈,၂,၁,နည်း,အပြည့်အဝ,ရ,ရ,ရ,၀.၅,၀.၂၅,၁,၁,၀.၇,၁,၁၀°C,၃၅°C,ဟင်းချက် (ပက်စတိုဆော့စ်၊ အသုပ်၊ ချက်ပြုတ်)၊ ဆေးဖက်ဝင် (ရောင်ရမ်းမှုကျ၊ အစာချေ),အထူးသဖြင့် မြေထဲပင်လယ်ဒေသနှင့် အရှေ့တောင်အာရှ ဟင်းလျာများတွင် ကျယ်ပြန့်စွာ အသုံးပြုကြသည့် မွှေးကြိုင်သော တစ်နှစ်ခံပင်ဖြစ်သည်။,,,,,
MDY,3,နံနံပင်,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၁,နည်း,အသင့်အတင့်,ရ,ရ,ရ,၀.၀၈,၀.၂၅,၁,၀.၉,၀.၆,၁,၈°C,၃၀°C,ဟင်းချက် (အရွက်နှင့်အစေ့၊ အလှဆင်)၊ ဆေးဖက်ဝင် (အစာကြေ၊ ဆီးချိုဆန့်ကျင်),ကြီးထွားမြန်သော အပင်ဖြစ်ပြီး အရွက်ကို လတ်လတ်ဆတ်ဆတ် အသုံးပြုနိုင်သလို အစေ့ကိုလည်း ဟင်းခတ်အမွှေးအကြိုင်အဖြစ် အသုံးပြုနိုင်သည်။,,,,,
SAG,3,နံနံပင်,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၁,နည်း,အသင့်အတင့်,ရ,ရ,ရ,၀.၀၈,၀.၂၅,၁,၀.၉,၀.၆,၁,၈°C,၃၀°C,ဟင်းချက် (အရွက်နှင့်အစေ့၊ အလှဆင်)၊ ဆေးဖက်ဝင် (အစာကြေ၊ ဆီးချိုဆန့်ကျင်),ကြီးထွားမြန်သော အပင်ဖြစ်ပြီး အရွက်ကို လတ်လတ်ဆတ်ဆတ် အသုံးပြုနိုင်သလို အစေ့ကိုလည်း ဟင်းခတ်အမွှေးအကြိုင်အဖြစ် အသုံးပြုနိုင်သည်။,,,,,
BGO,3,နံနံပင်,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၁,နည်း,အသင့်အတင့်,ရ,ရ,ရ,၀.၀၈,၀.၂၅,၁,၀.၉,၀.၆,၁,၈°C,၃၀°C,ဟင်းချက် (အရွက်နှင့်အစေ့၊ အလှဆင်)၊ ဆေးဖက်ဝင် (အစာကြေ၊ ဆီးချိုဆန့်ကျင်),ကြီးထွားမြန်သော အပင်ဖြစ်ပြီး အရွက်ကို လတ်လတ်ဆတ်ဆတ် အသုံးပြုနိုင်သလို အစေ့ကိုလည်း ဟင်းခတ်အမွှေးအကြိုင်အဖြစ် အသုံးပြုနိုင်သည်။,,,,,
YGN,3,နံနံပင်,ဟင်းသီးဟင်းရွက်ပင်,၀.၅,၁.၅,၁,နည်း,အသင့်အတင့်,ရ,ရ,ရ,၀.၀၈,၀.၂၅,၁,၀.၉,၀.၆,၁,၈°C,၃၀°C,ဟင်းချက် (အရွက်နှင့်အစေ့၊ အလှဆင်)၊ ဆေးဖက်ဝင် (အစာကြေ၊ ဆီးချိုဆန့်ကျင်),ကြီးထွားမြန်သော အပင်ဖြစ်ပြီး အရွက်ကို လတ်လတ်ဆတ်ဆတ် အသုံးပြုနိုင်သလို အစေ့ကိုလည်း ဟင်းခတ်အမွှေးအကြိုင်အဖြစ် အသုံးပြုနိုင်သည်။,,,,,
