State_ID,plant_id,plant_name,min_height(ft),max_height(ft),min_area_square_feet,Co2_absorption(kg)_per_year,O2_release(kg)_per_year,lifetime(year),Current_Market_Price_MMK_per_kg,Price_Unit
SHN_S,1,Mint,0.3,1,1,0.8,0.6,3,"4,287",MMK/kg
MDY,1,Mint,0.3,1,1,0.8,0.6,3,"4,287",MMK/kg
SAG,1,Mint,0.3,1,1,0.8,0.6,3,"4,287",MMK/kg
SHN_S,2,Basil,0.8,2,1,1,0.7,1,"3,674",MMK/kg
MDY,2,Basil,0.8,2,1,1,0.7,1,"3,674",MMK/kg
YGN,2,Basil,0.8,2,1,1,0.7,1,"3,674",MMK/kg
MDY,3,Coriander,0.5,1.5,1,0.9,0.6,1,"6,124",MMK/kg
SAG,3,Coriander,0.5,1.5,1,0.9,0.6,1,"6,124",MMK/kg
BGO,3,Coriander,0.5,1.5,1,0.9,0.6,1,"6,124",MMK/kg
YGN,3,Coriander,0.5,1.5,1,0.9,0.6,1,"6,124",MMK/kg
SHN_S,4,Tomato,2,6,4,3,2,1,"2,756",MMK/kg
YGN,4,Tomato,2,6,4,3,2,1,"2,756",MMK/kg
MDY,4,Tomato,2,6,4,3,2,1,"2,756",MMK/kg
BGO,4,Tomato,2,6,4,3,2,1,"2,756",MMK/kg
SHN_S,5,Chilli,1,3,2,2,1,2,"11,023",MMK/kg
YGN,5,Chilli,1,3,2,2,1,2,"11,023",MMK/kg
MDY,5,Chilli,1,3,2,2,1,2,"11,023",MMK/kg
BGO,5,Chilli,1,3,2,2,1,2,"11,023",MMK/kg
AYY,6,Eggplant,2,4,4,3,2,1,"2,143",MMK/kg
BGO,6,Eggplant,2,4,4,3,2,1,"2,143",MMK/kg
YGN,6,Eggplant,2,4,4,3,2,1,"2,143",MMK/kg
SHN_s,7,Cabbage,1,2,3,3,2,1,"1,837",MMK/kg
MDY,7,Cabbage,1,2,3,3,2,1,"1,837",MMK/kg
SAG,7,Cabbage,1,2,3,3,2,1,"1,837",MMK/kg
MDY,8,Onion,0.5,1.5,1,2,1,1,"3,368",MMK/kg
SAG,8,Onion,0.5,1.5,1,2,1,1,"3,368",MMK/kg
SHN_S,8,Onion,0.5,1.5,1,2,1,1,"3,368",MMK/kg
YGN,8,Onion,0.5,1.5,1,2,1,1,"3,368",MMK/kg
MDY,9,Garlic,0.5,1.5,1,2,1,1,"11,023",MMK/kg
SAG,9,Garlic,0.5,1.5,1,2,1,1,"11,023",MMK/kg
SHN_S,9,Garlic,0.5,1.5,1,2,1,1,"11,023",MMK/kg
SHN_S,10,Potato,1,2.5,2,3,2,1,"2,940",MMK/kg
CHN,10,Potato,1,2.5,2,3,2,1,"2,940",MMK/kg
KCH,10,Potato,1,2.5,2,3,2,1,"2,940",MMK/kg
SHN_S,11,Ginger,1,3,2,2,1,4,"5,205",MMK/kg
KYN,11,Ginger,1,3,2,2,1,4,"5,205",MMK/kg
TNY,11,Ginger,1,3,2,2,1,4,"5,205",MMK/kg
SHN_S,12,Turmeric,1,3,2,2,1,4,"6,124",MMK/kg
KYN,12,Turmeric,1,3,2,2,1,4,"6,124",MMK/kg
MON,12,Turmeric,1,3,2,2,1,4,"6,124",MMK/kg
AYY,13,Pumpkin,1,2,9,4,3,1,"1,531",MMK/kg
BGO,13,Pumpkin,1,2,9,4,3,1,"1,531",MMK/kg
YGN,13,Pumpkin,1,2,9,4,3,1,"1,531",MMK/kg
AYY,14,Cucumber,1,6,4,2,2,1,"1,715",MMK/kg
BGO,14,Cucumber,1,6,4,2,2,1,"1,715",MMK/kg
MDY,14,Cucumber,1,6,4,2,2,1,"1,715",MMK/kg
SHN_S,15,Lettuce,0.2,0.5,1,0.8,0.5,1,"3,674",MMK/kg
MDY,15,Lettuce,0.2,0.5,1,0.8,0.5,1,"3,674",MMK/kg
CHN,15,Lettuce,0.2,0.5,1,0.8,0.5,1,"3,674",MMK/kg
SHN_S,16,Pea plant,1,6,2,2,1,1,"5,000",MMK/kg
MDY,16,Pea plant,1,6,2,2,1,1,"5,000",MMK/kg
SAG,16,Pea plant,1,6,2,2,1,1,"5,000",MMK/kg
SHN_S,17,Corn,3,8,2,6,4,1,"1,837",MMK/kg
SAG,17,Corn,3,8,2,6,4,1,"1,837",MMK/kg
MDY,17,Corn,3,8,2,6,4,1,"1,837",MMK/kg
MDY,19,Sweet potato,1,3,3,3,2,1,"2,143",MMK/kg
SHN_S,19,Sweet potato,1,3,3,3,2,1,"2,143",MMK/kg
SAG,19,Sweet potato,1,3,3,3,2,1,"2,143",MMK/kg
AYY,20,Guava,10,20,25,25,18,25,"2,450",MMK/kg
BGO,20,Guava,10,20,25,25,18,25,"2,450",MMK/kg
MDY,20,Guava,10,20,25,25,18,25,"2,450",MMK/kg
YGN,20,Guava,10,20,25,25,18,25,"2,450",MMK/kg
AYY,21,Papaya,6,15,16,10,7,6,"1,837",MMK/kg
BGO,21,Papaya,6,15,16,10,7,6,"1,837",MMK/kg
BGO,21,Papaya,6,15,16,10,7,6,"1,837",MMK/kg
YGN,21,Papaya,6,15,16,10,7,6,"1,837",MMK/kg
AYY,22,Banana,6,25,16,20,14,7,"3,500",MMK/kg
TNY,22,Banana,6,25,16,20,14,7,"3,500",MMK/kg
YGN,22,Banana,6,25,16,20,14,7,"3,500",MMK/kg
MON,22,Banana,6,25,16,20,14,7,"3,500",MMK/kg
SHN_S,23,Cauliflower,1,2,3,3,2,1,"3,062",MMK/kg
MDY,23,Cauliflower,1,2,3,3,2,1,"3,062",MMK/kg
SAG,23,Cauliflower,1,2,3,3,2,1,"3,062",MMK/kg
SHN_S,24,Strawberry,0.1,0.6,1,3,1,2,"15,310",MMK/kg
SHN_S,25,Carrot,0.5,1,1,3,1,1,"3,674",MMK/kg
CHN,25,Carrot,0.5,1,1,3,1,1,"3,674",MMK/kg
SHN_S,28,Orange,12,30,25,35,25,40,"5,512",MMK/kg
MDY,28,Orange,12,30,25,35,25,40,"5,512",MMK/kg
SHN_S,29,Apple,10,30,25,40,30,50,"14,000",MMK/kg
TNY,30,Pineapple,1,4,4,1,0.6,7,"3,500",MMK/kg
MON,30,Pineapple,1,4,4,1,0.6,7,"3,500",MMK/kg
YGN,30,Pineapple,1,4,4,1,0.6,7,"3,500",MMK/kg
AYY,31,Watermelon,0.6,2,12,2,0.9,0.5,"2,000",MMK/kg
BGO,31,Watermelon,0.6,2,12,2,0.9,0.5,"2,000",MMK/kg
MDY,31,Watermelon,0.6,2,12,2,0.9,0.5,"2,000",MMK/kg
YGN,32,Dragon fruit,3,10,9,1,0.7,20,"4,899",MMK/kg
AYY,32,Dragon fruit,3,10,9,1,0.7,20,"4,899",MMK/kg
BGO,32,Dragon fruit,3,10,9,1,0.7,20,"4,899",MMK/kg
AYY,33,Rambutan,15,50,40,22,12,40,"7,349",MMK/kg
MON,33,Rambutan,15,50,40,22,12,40,"7,349",MMK/kg
MDY,34,Lychee,20,40,30,7,5,100,"9,186",MMK/kg
SHN_S,34,Lychee,20,40,30,7,5,100,"9,186",MMK/kg
AYY,34,Lychee,20,40,30,7,5,100,"9,186",MMK/kg
SHN_S,35,Cherry,10,40,25,3,2,25,"60,000",MMK/kg
SHN_S,36,Pear,12,30,20,3,1.5,40,"12,000",MMK/kg
KYN,37,Black pepper,3,8,4,1,0.6,15,"24,496",MMK/kg
SHN_S,37,Black pepper,3,8,4,1,0.6,15,"24,496",MMK/kg
TNY,37,Black pepper,3,8,4,1,0.6,15,"24,496",MMK/kg
YGN,38,Bell Pepper,1,3,2,2,1,1,"6,124",MMK/kg
MDY,38,Bell Pepper,1,3,2,2,1,1,"6,124",MMK/kg
AYY,39,Culantro,0.2,1,1,0.3,0.15,2,"4,899",MMK/kg
TNY,39,Culantro,0.2,1,1,0.3,0.15,2,"4,899",MMK/kg
SHN_S,40,Celery,1,2,2,0.4,0.2,2,"4,593",MMK/kg
MDY,40,Celery,1,2,2,0.4,0.2,2,"4,593",MMK/kg
YGN,40,Celery,1,2,2,0.4,0.2,2,"4,593",MMK/kg
AYY,41,Bottle gourd,6,20,6,1.5,0.8,1,"1,531",MMK/kg
