township,date,soil_pH,rainfall_mm,temperature_c,local_grain_price,historic_yield_tons_per_ha,best_crop
Mandalay,2018-04-13,7.6,154.5,22.8,1611.0,1.72,Wheat
Meiktila,2018-12-23,7.1,28.8,21.9,1403.0,2.63,Sesame
Meiktila,2020-03-25,7.5,423.8,28.4,917.0,4.14,Rice
Yangon,2019-10-16,7.4,210.7,23.1,1005.0,7.7,Wheat
Mandalay,2022-04-06,5.3,510.0,32.1,1595.0,6.65,Beans
Meiktila,2019-05-27,8.4,233.3,31.0,1428.0,6.81,Corn
Monywa,2020-02-27,7.5,37.0,24.6,620.0,3.03,Sesame
Taungoo,2019-02-18,6.3,277.5,36.7,1033.0,2.14,Corn
Magway,2018-10-20,7.1,111.0,34.6,1069.0,2.14,Beans
Meiktila,2020-06-18,7.4,507.3,35.5,548.0,2.6,Rice
Monywa,2022-07-02,5.9,134.5,38.9,972.0,7.13,Beans
Naypyidaw,2022-06-09,8.1,389.3,22.9,1617.0,1.98,Wheat
Meiktila,2020-12-12,7.6,262.8,31.7,1996.0,3.53,Corn
Bago,2023-09-19,6.7,455.9,37.2,740.0,2.07,Rice
Sagaing,2018-09-18,6.3,361.6,29.4,1330.0,2.76,Corn
Yangon,2019-04-15,7.4,326.8,25.3,667.0,5.49,Corn
Sagaing,2019-10-10,6.6,572.8,37.5,1251.0,2.84,Rice
Bago,2023-09-11,8.2,523.6,26.0,1413.0,5.47,Rice
Bago,2022-03-12,7.7,328.2,35.6,501.0,4.71,Corn
Monywa,2023-06-25,5.1,558.2,37.6,961.0,6.82,Beans
Yangon,2020-09-13,8.1,568.7,21.7,604.0,4.4,Rice
Meiktila,2019-05-31,5.4,290.4,31.0,1809.0,2.86,Corn
Sagaing,2020-05-17,8.3,455.6,33.8,1098.0,5.99,Rice
Monywa,2022-11-30,8.1,276.4,25.0,532.0,1.45,Corn
Meiktila,2020-07-31,7.1,14.2,34.2,601.0,1.41,Sesame
Yangon,2021-09-15,5.2,150.4,33.4,698.0,2.5,Beans
Pathein,2023-04-21,5.9,289.1,28.1,1488.0,1.66,Corn
