date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2008-01-15,Kachin,Myitkyina,Wai Maw,1021,25.34,97.44,cereals and tubers,Rice (low quality),145,KG,actual,Retail,MMK,400,0.41
2008-01-15,Kachin,Myitkyina,Wai Maw,1021,25.34,97.44,"meat, fish and eggs",Meat (chicken),94,KG,actual,Retail,MMK,3636.36,3.74
2008-01-15,Kachin,Myitkyina,Wai Maw,1021,25.34,97.44,"meat, fish and eggs",Meat (pork),140,KG,actual,Retail,MMK,3636.36,3.74
2008-01-15,Kachin,Myitkyina,Wai Maw,1021,25.34,97.44,miscellaneous food,Salt,185,KG,actual,Retail,MMK,242.42,0.25
2008-01-15,Kachin,Myitkyina,Wai Maw,1021,25.34,97.44,vegetables and fruits,Onions,173,KG,actual,Retail,MMK,969.7,1
2008-01-15,Kachin,Myitkyina,Wai Maw,1021,25.34,97.44,vegetables and fruits,Tomatoes,114,KG,actual,Retail,MMK,484.85,0.5
2008-01-15,Magway,Magway,Magway,997,20.15,94.92,cereals and tubers,Potatoes,83,KG,actual,Retail,MMK,242.42,0.25
2008-01-15,Magway,Magway,Magway,997,20.15,94.92,cereals and tubers,Rice (low quality),145,KG,actual,Retail,MMK,604.17,0.62
2008-01-15,Magway,Magway,Magway,997,20.15,94.92,vegetables and fruits,Tomatoes,114,KG,actual,Retail,MMK,181.82,0.19
2008-01-15,Magway,Magway,Yenanchaung,1023,20.46,94.87,cereals and tubers,Potatoes,83,KG,actual,Retail,MMK,363.64,0.37
2008-01-15,Magway,Magway,Yenanchaung,1023,20.46,94.87,cereals and tubers,Rice (low quality),145,KG,actual,Retail,MMK,900,0.93
2008-01-15,Magway,Pakokku,Pakhangyi,1011,21.54,95.2,cereals and tubers,Potatoes,83,KG,actual,Retail,MMK,484.85,0.5
2008-01-15,Magway,Pakokku,Pakhangyi,1011,21.54,95.2,cereals and tubers,Rice (low quality),145,KG,actual,Retail,MMK,541.67,0.56
2008-01-15,Magway,Pakokku,Pakhangyi,1011,21.54,95.2,vegetables and fruits,Tomatoes,114,KG,actual,Retail,MMK,242.42,0.25
2008-01-15,Rakhine,Maungdaw,Alel Than Kyaw,977,20.68,92.44,cereals and tubers,Rice (low quality),145,KG,actual,Retail,MMK,460,0.47
2008-01-15,Rakhine,Maungdaw,Alel Than Kyaw,977,20.68,92.44,oil and fats,Oil (palm),62,L,actual,Retail,MMK,2000,2.06
2008-01-15,Rakhine,Maungdaw,Alel Than Kyaw,977,20.68,92.44,pulses and nuts,Chickpeas (local),394,KG,actual,Retail,MMK,650,0.67
2008-01-15,Rakhine,Maungdaw,Buthidaung,978,20.87,92.53,cereals and tubers,Rice (low quality),145,KG,actual,Retail,MMK,400,0.41
2008-01-15,Rakhine,Maungdaw,Buthidaung,978,20.87,92.53,oil and fats,Oil (palm),62,L,actual,Retail,MMK,2000,2.06
2008-01-15,Rakhine,Maungdaw,Buthidaung,978,20.87,92.53,pulses and nuts,Chickpeas (local),394,KG,actual,Retail,MMK,600,0.62
