Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
MMR,1961-01-01,1961-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1961,1961,ha,11331.000000,A,
MMR,1962-01-01,1962-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1962,1962,ha,10927.000000,A,
MMR,1963-01-01,1963-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1963,1963,ha,12545.000000,A,
MMR,1964-01-01,1964-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1964,1964,ha,16188.000000,A,
MMR,1965-01-01,1965-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1965,1965,ha,20235.000000,A,
MMR,1966-01-01,1966-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1966,1966,ha,20235.000000,A,
MMR,1967-01-01,1967-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1967,1967,ha,21044.000000,A,
MMR,1968-01-01,1968-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1968,1968,ha,21853.000000,A,
MMR,1969-01-01,1969-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1969,1969,ha,23067.000000,A,
MMR,1970-01-01,1970-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1970,1970,ha,23877.000000,A,
MMR,1971-01-01,1971-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1971,1971,ha,24686.000000,A,
MMR,1972-01-01,1972-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1972,1972,ha,25091.000000,A,
MMR,1973-01-01,1973-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1973,1973,ha,25495.000000,A,
MMR,1974-01-01,1974-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1974,1974,ha,25900.000000,A,
MMR,1975-01-01,1975-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1975,1975,ha,26000.000000,X,Unofficial figure
MMR,1976-01-01,1976-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1976,1976,ha,26000.000000,X,Unofficial figure
MMR,1977-01-01,1977-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1977,1977,ha,26305.000000,A,
MMR,1978-01-01,1978-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1978,1978,ha,25091.000000,A,
MMR,1979-01-01,1979-12-31,28,'104,Myanmar,226,'01379.01,Areca nuts,5312,Area harvested,1979,1979,ha,26000.000000,A,
